ElementName,s,betax,betay,alphax,alphay,etax,etay,xAperture,yAperture,xmin,xmax,ymin,ymax,sigma_x,sigma_y,Particles,Cx,Cy,Charge,ElementCodes
LL2M2,3.186413333333331,1.222093496350865,4164.32967788916,17.6397591335028,-8217.497624110849,0.2340469618518451,-0.005618496252802441,24.778059220986663,21.856406294015922,,,,,,,1178,0.8253368952088616,-3.7244655427318087,1.27224e-11,8
LL2M2,3.237246666666664,0.08875992220359474,5041.676932195486,4.655327571033657,-9041.792624538197,0.1699473605016263,-0.006306760879099827,24.74247563185488,21.54051963435388,,,,,,,1069,1.281584497342702,-3.455754075919913,1.15452e-11,8
LL2M2,3.288079999999998,0.2755102235740213,6002.82751154526,-8.329103991435492,-9866.087624965545,0.1058477591514076,-0.006995025505397212,33.30000102409241,8.524632936295548,,,,,,,986,1.7820871938654501,-2.907784806177732,1.0648799999999999e-11,8
MBH,3.288079999999998,0.2755102235740213,6002.82751154526,-8.329103991435492,-9866.087624965545,0.1058477591514076,-0.006995025505397212,33.30000102409241,8.524632936295548,,,,,,,499,1.866984659174556,-0.3937318294676143,5.389200000000001e-12,22
BM2,3.33686222222222,1.694039914644152,7003.916062710675,-20.73123448553147,-10656.32039704387,0.04529481299577105,-0.0074273254796454,33.01769652097868,8.221510762638498,,,,,,,464,2.294952779141251,-0.3191544452481848,5.0112e-12,1
BM2,3.385644444444442,4.315690358996876,8082.182503923314,-32.97561989004586,-11447.24901112098,-0.01319326964346513,-0.007875778435625192,32.69526247455812,7.918384237436241,,,,,,,443,2.663484170720233,-0.386164823097982,4.7844e-12,1
BM2,3.434426666666664,8.120531148510397,9237.622849589994,-44.96901677378035,-12238.18227578181,-0.069528451395311,-0.008339803988963763,32.346607282315944,7.615255482113915,,,,,,,420,3.120104947806947,-0.2876380877597269,4.536e-12,1
BM2,3.483208888888886,13.07963398846292,10470.23863026188,-56.62016111004278,-13029.12029631173,-0.1236034910047773,-0.00881880379415848,31.97090721998401,7.312124428018341,,,,,,,390,3.6511215814923044,-0.2693938675338317,4.212e-12,1
BM2,3.531991111111108,19.15528771459374,11780.03140217545,-67.84039184371294,-13820.06316894397,-0.1753154434946144,-0.009312151000205809,31.567232451153142,7.008991012848219,,,,,,,361,3.91578934560148,-0.130732827474456,3.8988e-12,1
BM2,3.58077333333333,26.30128475226266,13167.00274250755,-78.5443255597529,-14611.01098067623,-0.2245658562737563,-0.0098191914422095,31.13453241353202,6.705855180984573,,,,,,,338,4.1110165980305835,-0.340057126878549,3.6504e-12,1
BM2,3.629555555555552,34.46327223020845,14631.15424455648,-88.6505062397622,-15401.96380910481,-0.271260956735957,-0.01033924488502231,30.67161813358879,6.402716883791866,,,,,,,321,4.415175331607772,-0.026368198115945898,3.4668e-12,1
BM2,3.678337777777774,43.57916508590962,16172.48751286156,-98.08202516187508,-16192.92172227664,-0.3153118309899535,-0.01087160631656513,30.17714067576197,6.0995760798876795,,,,,,,301,5.084991878479887,-0.03324969625730719,3.2508e-12,1
BM2,3.727119999999996,53.57961802766521,17791.00415827403,-106.7671062259825,-16983.88477855949,-0.3566345933790713,-0.01141554728837254,29.64956467272726,5.796432735379139,,,,,,,286,5.417138604375524,-0.4173133879497385,3.0888e-12,1
BM2,3.775902222222218,64.38855277033288,19486.70579299239,-114.6396522488608,-17774.85302653054,-0.3951505464654391,-0.01197031730082348,29.08713552064072,5.493286824064383,,,,,,,267,5.701217061076826,-0.2841842419021931,2.8836e-12,1
BM2,3.82468444444444,75.92373654060378,21259.59402557486,-121.6397480703169,-18565.82650488365,-0.4307863311718568,-0.01253514523042971,28.487838308926218,5.190138327597713,,,,,,,245,5.676948860175651,-0.3126862313081551,2.646e-12,1
BM2,3.873466666666662,88.09740745696845,23109.67045594252,-127.714116639662,-19356.80524235539,-0.4634740667928524,-0.01310924079647459,27.84934581154873,4.886987235617161,,,,,,,229,5.676597252416843,-0.2336355605270628,2.4732e-12,1
BM2,3.922248888888884,100.8169420321201,25036.93667038603,-132.8165246092211,-20147.78925766999,-0.4931514806055124,-0.01369179606421854,27.168951773481517,4.583833545833589,,,,,,,205,5.158221935944116,-0.2713392957520033,2.214e-12,1
BM2,3.971031111111107,113.9855597241813,27041.39423658926,-136.9081343454511,-20938.77855950341,-0.519762026830267,-0.01428198698181755,26.443484081603508,4.2806772640805715,,,,,,,194,4.881634834891598,-0.3036640200377138,2.0951999999999998e-12,1
BM2,4.019813333333329,127.5030591802883,29123.04469868302,-139.9577996756704,-21729.77314646648,-0.5432549947118922,-0.01487897494803576,25.66918987513904,3.977518404324658,,,,,,,183,5.23444125962567,-0.2213068769833027,1.9764e-12,1
BM2,4.068595555555551,141.2665805738922,31281.88957234198,-141.9423031162961,-22520.77300710721,-0.5635856055115539,-0.01548190840777397,24.84158063790334,3.674356988635793,,,,,,,177,4.987307279740323,-0.1353704303753249,1.9116e-12,1
BM2,4.117377777777773,155.1713882374941,33517.93033993788,-142.8465327735957,-23311.77811993228,-0.5807150982216821,-0.01608992447238173,23.95521876039492,3.371193047118016,,,,,,,167,5.0744451973882265,-0.145914901891244,1.8036e-12,1
BM2,4.166159999999995,169.1116676369699,35831.16847055489,-142.6635975668956,-24107.62652166032,-0.5944742173008439,-0.01670215056167274,23.14646719354059,15.76795486631629,,,,,,,159,5.155781860574607,-0.2709407264751109,1.7172e-12,1
ML,4.166159999999995,169.1116676369699,35831.16847055489,-142.6635975668956,-24107.62652166032,-0.5944742173008439,-0.01670215056167274,23.14646719354059,15.76795486631629,,,,,,,142,2.643709517361939,-0.3848853384577309,1.5336e-12,24
LM2L3,4.211159999999995,182.1951158887449,38033.70013737345,-148.079696916995,-24837.52162986327,-0.6057875785036569,-0.01721333158193621,23.0266191825518,15.488251877538069,,,,,,,140,2.552142444206843,-0.45164705621170703,1.512e-12,17
LM2L3,4.256159999999995,195.766013082029,40301.92236393028,-153.4957962670943,-25567.41673806622,-0.61710093970647,-0.01772451260219968,22.902815046247838,15.20854706305436,,,,,,,133,2.355290109428497,-0.33720161846200203,1.4364e-12,17
LM2L3,4.301159999999995,209.8243592168219,42635.83515022538,-158.9118956171937,-26297.31184626917,-0.628414300909283,-0.01823569362246315,22.77499407386107,14.92884042285945,,,,,,,130,2.817277240295415,-0.4536189216300227,1.404e-12,17
LM2L3,4.346159999999995,224.3701542931238,45035.43849625874,-164.3279949672931,-27027.20695447212,-0.639727662112096,-0.01874687464272662,22.643092156904622,14.64913195694721,,,,,,,126,2.7337835014218688,-0.443200737989004,1.3608e-12,17
LM2L3,4.391159999999995,239.4033983109347,47500.73240203037,-169.7440943173924,-27757.10206267507,-0.651041023314909,-0.01925805566299009,22.507041583514248,14.36942166531112,,,,,,,125,2.767187765452531,-0.5384774635983226,1.35e-12,17
Q1L3,4.436159999999995,244.9460201628237,52050.05223099852,48.24201329739279,-74700.01929229147,-0.6491387821281065,-0.02038260253214959,22.260022394167162,13.871828257735931,,,,,,,125,2.906668500640053,-0.5633516566139971,1.35e-12,30
Q1L3,4.481159999999995,230.9524003155578,61312.72997739329,258.5178519577334,-133908.5933383948,-0.6210343673317048,-0.02278916078377265,21.75637451969385,12.92203558685437,,,,,,,125,2.9327643441878433,-0.611636261033242,1.35e-12,30
Q1L3,4.526159999999995,199.6590659224203,76809.68661975466,427.4761329151671,-215104.8036157613,-0.5678619353425788,-0.02661425095510349,20.892281587824908,11.48145004968563,,,,,,,125,2.844763819418771,-0.6853402282105472,1.35e-12,30
Q1L3,4.571159999999995,156.0674671336168,101085.5045246738,528.1131368134612,-331620.9739911972,-0.4917675110639333,-0.03207204998069808,19.46710029462911,9.491533519794467,,,,,,,125,2.646572516107758,-0.7875303535045408,1.35e-12,30
LL3L4,4.622097499999994,106.9027413718261,137692.1278225177,437.0839333566645,-387036.6613038977,-0.3937375602871291,-0.03927917857558368,17.10005607164832,6.8999152335315515,,,,,,,125,2.362614060235203,-0.9208097985796897,1.35e-12,9
LL3L4,4.673034999999994,67.01161571219647,179944.2242653429,346.0547298998677,-442452.3486165982,-0.295707609510325,-0.04648630717046929,13.882074494194631,4.308296391116865,,,,,,,120,2.07154258517481,-0.06646757564945671,1.296e-12,9
LL3L4,4.723972499999994,36.39409015472804,227841.7938531495,255.025526443071,-497868.0359292987,-0.1976776587335208,-0.0536934357653549,8.952661289497183,1.7166769925489431,,,,,,,111,1.6363431905726011,0.1721930840365051,1.1988e-12,9
LL3L4,4.774909999999994,15.05016469942077,281384.8365859375,163.9963229862742,-553283.7232419992,-0.09964770795671668,-0.0609005643602405,0.0,0.0,,,,,,,100,1.2945331414126091,-1.084335694490153,1.08e-12,9
LL3L4,4.825847499999994,2.97983934627467,340573.3524637068,72.9671195294775,-608699.4105546996,-0.001617757179912555,-0.06810769295512611,0.0,0.0,,,,,,,92,0.9334668537020332,-1.314627350550699,9.936000000000001e-13,9
LL3L4,4.876784999999994,0.1831140952897323,405407.3414864575,-18.06208392731921,-664115.0978674,0.09641219359689158,-0.07531482155001172,0.0,0.0,,,,,,,77,0.7630922309141182,-1.3327782104850119,8.316e-13,9
LL3L4,4.927722499999994,6.659988946465964,475886.8036541895,-109.091287384116,-719530.7851801005,0.1944421443736957,-0.08252195014489733,0.0,0.0,,,,,,,71,0.6865554982766685,-1.538834665162668,7.668e-13,9
LL3L4,4.978659999999993,22.41046389980337,552011.7389669028,-200.1204908409128,-774946.4724928009,0.2924720951504999,-0.08972907873978293,0.0,0.0,,,,,,,63,0.5385540385078071,-1.046046100822726,6.804e-13,9
LL3L4,5.029597499999993,47.43453895530195,633782.1474245976,-291.1496942977096,-830362.1598055013,0.390502045927304,-0.09693620733466854,0.0,0.0,,,,,,,56,0.6367908679327484,0.9916500177218894,6.048e-13,9
LL3L4,5.080534999999993,81.7322141129617,721198.0290272738,-382.1788977545064,-885777.8471182018,0.4885319967041082,-0.1041433359295541,0.0,0.0,,,,,,,51,0.4268334088373018,-0.2642567476841625,5.508e-13,9
LL3L4,5.131472499999993,125.3034893727826,814259.3837749312,-473.2081012113031,-941193.5344309022,0.5865619474809123,-0.1113504645244398,0.0,0.0,,,,,,,48,0.2629333621949595,1.156804449748953,5.184e-13,9
LL3L4,5.182409999999993,178.1483647347647,912966.21166757,-564.2373046680999,-996609.2217436028,0.6845918982577164,-0.1185575931193254,0.0,0.0,,,,,,,45,-0.0804730683558461,1.585509377196033,4.86e-13,9
LL3L4,5.233347499999993,240.266840198908,1017318.51270519,-655.2665081248966,-1052024.909056303,0.7826218490345205,-0.125764721714211,0.0,0.0,,,,,,,43,-0.2722275733209993,1.731147829571815,4.644e-13,9
LL3L4,5.284284999999993,311.6589157652124,1127316.286887792,-746.2957115816934,-1107440.596369004,0.8806517998113246,-0.1329718503090966,0.0,0.0,,,,,,,41,-0.2994207752164429,2.127389418151748,4.4280000000000004e-13,9
LL3L4,5.335222499999992,392.324591433678,1242959.534215375,-837.3249150384901,-1162856.283681704,0.9786817505881288,-0.1401789789039822,0.0,0.0,,,,,,,36,-2.3102451012462684,0.6914687299415847,3.888e-13,9
LL3L4,5.386159999999992,482.2638672043047,1364248.254687939,-928.3541184952868,-1218271.970994405,1.076711701364933,-0.1473861074988678,0.0,0.0,,,,,,,27,-3.349659306615166,3.780595450779967,2.916e-13,9
W2,5.386159999999992,482.2638672043047,1364248.254687939,-928.3541184952868,-1218271.970994405,1.076711701364933,-0.1473861074988678,0.0,0.0,,,,,,,27,-3.349659306615166,3.780595450779967,2.916e-13,36
Q1L4,5.431159999999992,577.7774090479575,1454063.817446404,-1205.051816404152,-767374.8354707961,1.171835756446304,-0.1521601991815359,0.0,0.0,,,,,,,24,-3.792967196085906,2.780848542085343,2.592e-13,31
Q1L4,5.476159999999992,701.4066555784825,1500962.193728573,-1556.351050501423,-269456.7361747817,1.285023299590582,-0.1536910333688023,0.0,0.0,,,,,,,20,-1.42455382705258,5.431748961340846,2.1600000000000001e-13,31
Q1L4,5.521159999999992,860.8051629197264,1502069.681205133,-2003.999817154317,244972.349466168,1.418019265298877,-0.15194061617643,0.0,0.0,,,,,,,17,-2.8308202554979554,3.459054651726966,1.836e-13,31
Q1L4,5.566159999999992,1065.840866501453,1457318.418478879,-2575.710854695366,744390.7318144786,1.572873931635857,-0.1469355263922799,0.0,0.0,,,,,,,16,-5.079652099546902,4.031898436525855,1.728e-13,31
LL4L5,5.617097499999992,1344.391582348888,1382470.170880123,-2892.769456419918,725022.7179770584,1.761399201867348,-0.1394562445658648,0.0,0.0,,,,,,,15,-5.0776280957181985,2.92014977608429,1.6200000000000002e-13,10
