s,betax,betay,alphax,alphay,etax,etay,xAperture,yAperture,xmin,xmax,ymin,ymax,sigma_x,sigma_y,Particles,p,Cx,Cy,Charge,Temp
2.05904,2.111528978047887,1.020663953372183,3.125769856729586,-0.6026216938689263,0.0851108801951144,-0.0006607300338485,34.95929559171403,11.77247301516221,-14.98783698668554,16.48841623842215,-5.460996496581194,5.516635643016033,4.119087924921355,1.6304153626022082,50000,400.0007358134867,1.379306932170529,0.3898265022706129,5.4e-10,0
2.107822222222222,1.815060195434269,1.082636081598833,2.947683194977754,-0.6677724873727207,0.1047577836114895,-0.0006993314550201,34.95351642641698,11.74215246037849,-16.81234552901067,17.44401543659569,-5.405253589673309,5.976002416814579,4.71667772489997,1.680941928555556,50000,400.0007358134867,1.205204083731746,0.5869675234070311,5.4e-10,0
2.156604444444444,1.537073411247349,1.150964425010812,2.747157939473128,-0.7329231604472514,0.1263335424428312,-0.000737373781187,34.947330636089525,11.711831898379,-19.29846953693663,18.71937060295283,-5.402878938896995,6.434740450508488,5.438191072816017,1.734698456953884,50000,400.0007358134867,1.026181195288571,0.7840651208274522,5.4e-10,0
2.205386666666666,1.279684797034845,1.225648935044551,2.525720492007807,-0.7980737019420356,0.1497970597954519,-0.0007748052482036,34.9407422662017,11.68151132238162,-22.01883890706362,20.53748416994571,-5.409170821163434,7.02955686061263,6.27094239838187,1.79138393678971,50000,400.0007358134867,0.8427567796478163,0.9811173327978348,5.4e-10,0
2.254168888888888,1.044853680973379,1.306689559109929,2.285056439184907,-0.8632241009570286,0.1751036435673634,-0.0008115752554451,34.93375571862415,11.65119072484605,-24.96660154218828,22.847767946685902,-5.415476015901936,7.623234305102224,7.20381788215699,1.850718839680356,50000,400.0007358134867,0.6554680932210369,1.178122316339849,5.4e-10,0
2.30295111111111,0.8343676319248599,1.394086240741334,2.026997719223754,-0.928374346863367,0.2022050917097549,-0.0008476344621756,34.92637574308276,11.62087009758885,-28.13437996873461,25.426167211201,-5.42179556730495,8.215189786395833,8.22767406722546,1.912446076260736,50000,400.0007358134867,0.4648686517836753,1.375078352575684,5.4e-10,0
2.351733333333332,0.6498288519265895,1.487838919760112,1.753508674702529,-0.993524429323597,0.2310497841797773,-0.0008829348815139,34.91860742794255,11.59054943190499,-31.5143010802049,28.18922767429938,-5.42813049936514,8.658720676949843,9.331857457055778,1.9756186014341848,49996,400.0007358134867,0.2738397391247424,1.571486667962223,5.399568e-10,0
2.400515555555554,0.4926419807126494,1.587947532447972,1.466671097461497,-1.058674338311347,0.2615827814081435,-0.0009174299718156,34.91045619033844,11.56022871869475,-34.69729466910582,31.13305498727336,-5.434481814282929,9.227905282319831,10.47964571419528,2.039288055325605,49956,400.0007358134867,0.1047537242452608,1.765850454731591,5.395248e-10,0
2.449297777777776,0.3640034050972419,1.694412011730914,1.16866837956194,-1.123824064130404,0.2937459290925951,-0.0009510747252994,34.9019277656718,11.52990794859498,-34.885402916989115,34.27050265677162,-5.440850490867567,9.79675816449189,11.58231119085778,2.103361028336965,49791,400.0007358134867,0.0209531020327806,1.956581623080067,5.377427999999998e-10,0
2.498079999999999,0.2648921545770536,1.807232287518839,0.8617688909998276,-1.188859048416442,0.3274786795615009,-0.0009838257537477,24.95410938600653,24.19957063105683,-34.86750355001743,34.90541663671158,-5.4712441020424585,10.36526123704285,12.6256294413163,2.166869519779222,49466,400.0007358134867,-0.0037355788142568,2.142635478529344,5.342328e-10,0
2.498079999999999,0.2648921545770536,1.807232287518839,0.8617688909998276,-1.188859048416442,0.3274786795615009,-0.0009838257537477,24.95410938600653,24.19957063105683,-24.980305171755138,24.99287738821395,-5.4712441020424585,10.36526123704285,11.213634275555211,2.16028143025344,46984,400.0007358134867,0.2329972621993876,2.1420474614707183,5.074271999999998e-10,24
2.548913333333332,0.1942785236724968,1.93155034601248,0.5273517169586657,-1.256742102278145,0.3634264679094224,-0.0010009879101157,24.949475091649973,24.16797269217405,-24.9400012865178,24.992096146933232,-5.607890128173883,10.95441849992771,11.7173240705561,2.229317865045673,45491,400.0007358134867,0.2006922437557938,2.338029246888695,4.913027999999998e-10,16
2.599746666666665,0.1576639721287915,2.062769848315395,0.1929345429175039,-1.324625156139848,0.3993742562573439,-0.0010181500664837,24.94480080636964,24.136374234228818,-24.96388214040818,24.96089866545035,-5.744536154305309,11.543575762812582,12.117057028219987,2.2986614902954488,43876,400.0007358134867,0.2045421514478257,2.534102407146047,4.738608e-10,16
2.650579999999998,0.1550484999459377,2.200890794427583,-0.141482631123658,-1.392508210001552,0.4353220446052654,-0.0010353122228518,24.94008652501785,24.10477525722082,-24.98474521563748,24.97941679837128,-5.881182180436734,12.13273302569744,12.38526549455757,2.3689898038585997,42092,400.0007358134867,0.1878036718993679,2.732415842793039,4.545936e-10,16
